taxon	min_yr	max_yr
Liometopum_incognitum	33.9	38.
Gnamptogenys_levinates	13.82	20.44
Gesomyrmex_pulcher	40.4	48.6
Myrmeciites_herculeanus	47.8	56.
Cephalotes_alveolatus	13.82	20.44
Pachycondyla_nubeculata	15.97	20.44
Discothyrea_maya	15.97	23.03
Cretomyrma_unicornis	83.5	85.8
Brownimecia_clavata	89.8	93.9
Camelomecia_janovitzi	98.17	99.41
Gerontoformica_gracilis	93.5	99.6
Gerontoformica_magnus	93.5	99.6
Gerontoformica_pilosus	93.5	99.6
Gerontoformica_spiralis	93.5	99.6
Haidomyrmex_scimitarus	93.5	99.6
Haidomyrmodes_mammuthus	98.0	100.0
Haidoterminus_cippus	78.0	79.0
Kyromyrma_sp	89.8	93.9
Myanmyrma_gracilis	93.5	99.6
Sphecomyrma_freyi	79.0	92.0
Zigrasimecia_sp	98.17	99.41
