,SpecimenName,min_yr,max_yr,SubFamily,Tribe,Genus,Reference,Amber Locale
412,Solenopsis_superba,28.4,33.9,Myrmicinae,Solenopsidini,Solenopsis,"B. Förster. 1891. Die Insekten der ""Plattigen Steinmergels"" von Brunstatt. Abhandlungen zur Geologischen Specialkarte von Elsass-Lothringen, Band 3 1:335-593",France
413,Solenopsis_valida,28.4,33.9,Myrmicinae,Solenopsidini,Solenopsis,"B. Förster. 1891. Die Insekten der ""Plattigen Steinmergels"" von Brunstatt. Abhandlungen zur Geologischen Specialkarte von Elsass-Lothringen, Band 3 1:335-593",France
58,Camponotus_crozei,5.333,8.7,Formicinae,Camponotini,Camponotus,"B. Riou. 1999. Descriptions de quelques insectes fossiles du Miocène supérieur de la Montagne d'Andance (Ardèche, France). Travaux de l'École Pratique des Hautes Études, Biologie et Évolution des Insectes 11/12:123-133 ",France
309,Oecophylla_grandimandibula,5.333,8.7,Formicinae,Oecophyllini,Oecophylla,"B. Riou. 1999. Descriptions de quelques insectes fossiles du Miocène supérieur de la Montagne d'Andance (Ardèche, France). Travaux de l'École Pratique des Hautes Études, Biologie et Évolution des Insectes 11/12:123-133 ",France
224,Haidomyrmex_cerberus,93.5,99.6,Sphecomyrminae,Haidomyrmecini,Haidomyrmex,"Barden, P.; Grimaldi, D. 2012. Rediscovery of the bizarre Cretaceous ant Haidomyrmex Dlussky (Hymenoptera: Formicidae), with two new species. American Museum Novitates 3755:1-16. PDF",Burma
225,Haidomyrmex_scimitarus,93.5,99.6,Sphecomyrminae,Haidomyrmecini,Haidomyrmex,"Barden, P.; Grimaldi, D. 2012. Rediscovery of the bizarre Cretaceous ant Haidomyrmex Dlussky (Hymenoptera: Formicidae), with two new species. American Museum Novitates 3755:1-16. PDF",Burma
226,Haidomyrmex_zigrasi,93.5,99.6,Sphecomyrminae,Haidomyrmecini,Haidomyrmex,"Barden, P.; Grimaldi, D. 2012. Rediscovery of the bizarre Cretaceous ant Haidomyrmex Dlussky (Hymenoptera: Formicidae), with two new species. American Museum Novitates 3755:1-16. PDF",Burma
437,Trachymyrmex_primaevus,13.82,20.44,Myrmicinae,Attini,Trachymyrmex,"Baroni Urbani, C. 1980b. First description of fossil gardening ants. (Amber Collection Stuttgart and Natural History Museum Basel; Hymenoptera: Formicidae. I: Attini). Stuttg. Beitr. Naturkd. Ser. B (Geol. Paläontol.) 54: 1-13",Dominican
380,Proceratium_denticulatum,13.82,20.44,Proceratiinae,Proceratiini,Proceratium,"Baroni Urbani, C., de Andrade, M.L. 2003. The ant genus Proceratium in the extant and fossil record (Hymenoptera: Formicidae). Museo Regionale di Scienze Naturali, Monografie, 36, 1–492. ",Dominican
382,Proceratium_gibberum,13.82,20.44,Proceratiinae,Proceratiini,Proceratium,"Baroni Urbani, C., de Andrade, M.L. 2003. The ant genus Proceratium in the extant and fossil record (Hymenoptera: Formicidae). Museo Regionale di Scienze Naturali, Monografie, 36, 1–492. ",Dominican
172,Formica_flori,33.9,38,Formicinae,Formicini,Formica,"Baroni Urbani, C.; Graeser, S. 1987. REM-Analysen an einer pyritisierten Ameise aus Baltischem Bernstein. Stuttg. Beitr. Naturkd. Ser. B (Geol. Paläontol.) 133: 1-16",Baltic
381,Proceratium_dominicanum,13.82,20.44,Proceratiinae,Proceratiini,Proceratium,"C. Baroni Urbani and M. L. de Andrade. 2003. The ant genus Proceratium in the extant and fossil record (Hymenoptera: Formicidae). Museo Regionale di Scienze Naturali - Torino, Monografie 36:1-480",Dominican
12,Anochetus_corayi,13.82,20.44,Ponerinae,Ponerini,Anochetus,"C. Baroni Urbani. 1980. Anochetus corayi n. sp., the first fossil Odontomachiti ant (amber collection Stuttgart: Hymenoptera, Formicidae. II: Odontomachiti). Stuttgarter Beiträge zur Naturkunde Serie B (Geologie und Paläontologie) 55:1-6",Dominican
222,Gnamptogenys_levinates,13.82,20.44,Ectatomminae,Ectatommini,Gnamptogenys,"C. Baroni Urbani. 1980. The Ant Genus Gnamptogenys in Dominican Amber (Amber Collection Stuttgart: Hymenoptera, Formicidae. IV: Ectatommini). Stuttgarter Beiträge zur Naturkunde Serie B (Geologie und Paläontologie) 67:1-10",Dominican
223,Gnamptogenys_pristina,13.82,20.44,Ectatomminae,Ectatommini,Gnamptogenys,"C. Baroni Urbani. 1980. The Ant Genus Gnamptogenys in Dominican Amber (Amber Collection Stuttgart: Hymenoptera, Formicidae. IV: Ectatommini). Stuttgarter Beiträge zur Naturkunde Serie B (Geologie und Paläontologie) 67:1-10",Dominican
257,Leptomyrmex_neotropicus,13.82,20.44,Dolichoderinae,,Leptomyrmex,"C. Baroni Urbani. 1980. The first fossil species of the Australian ant genus Leptomyrmex in amber from the Dominican Republic (Amber collection Stuttgart: Hymenoptera, Formicidae. III: Leptomyrmicini).",Dominican
335,Paraponera_dieteri,13.82,20.44,Paraponerinae,,Paraponera,"C. Baroni Urbani. 1994. The Identity of the Dominican Paraponera (Amber Collection Stuttgart: Hymenoptera, Formicidae. V: Ponerinae, partim). Stuttgarter Beiträge zur Naturkunde Serie B (Geologie und Paläontologie) 197:1-9",Dominican
338,Pheidole_primigenia,13.82,20.44,Myrmicinae,Attini,Pheidole,"C. Baroni Urbani. 1995. Invasion and extinction in the West Indian ant fauna revised: the example of Pheidole (amber collection Stuttgart: Hymenoptera, Formicidae. VIII: Myrmicinae, partim). Stuttgarter Beiträge zur Naturkunde Serie B ",Dominican
377,Prionomyrmex_janzeni,33.9,38,Myrmeciinae,Prionomyrmecini,Prionomyrmex,"C. Baroni Urbani. 2000. Rediscovery of the Baltic amber ant genus Prionomyrmex (Hymenoptera, Formicidae) and its taxonomic consequences. Eclogae Geologicae Helvetiae 93:471-480",Baltic
90,Cataulacus_planiceps,5.333,11.608,Myrmicinae,Crematogastrini,Cataulacus,C. Emery. 1891. Le formiche dell'ambra Siciliana nel Museo Mineralogico dell'Università di Bologna. Memorie della Reale Accademia delle Scienze dell'Istituto di Bologna 5:141-165,Italy
92,Cataulacus_silvestrii,5.333,11.608,Myrmicinae,Crematogastrini,Cataulacus,C. Emery. 1891. Le formiche dell'ambra Siciliana nel Museo Mineralogico dell'Università di Bologna. Memorie della Reale Accademia delle Scienze dell'Istituto di Bologna 5:141-165,Italy
131,Ectatomma_gracile,5.333,11.608,Ectatomminae,Ectatommini,Ectatomma,C. Emery. 1891. Le formiche dell'ambra Siciliana nel Museo Mineralogico dell'Università di Bologna. Memorie della Reale Accademia delle Scienze dell'Istituto di Bologna 5:141-165,Italy
228,Hypopomyrmex_bombiccii,5.333,11.608,Myrmicinae,Crematogastrini,Hypopomyrmex,C. Emery. 1891. Le formiche dell'ambra Siciliana nel Museo Mineralogico dell'Università di Bologna. Memorie della Reale Accademia delle Scienze dell'Istituto di Bologna 5:141-165,Italy
258,Leptomyrmula_maravignae,5.333,11.608,Dolichoderinae,Leptomyrmecini,Leptomyrmula,C. Emery. 1891. Le formiche dell'ambra Siciliana nel Museo Mineralogico dell'Università di Bologna. Memorie della Reale Accademia delle Scienze dell'Istituto di Bologna 5:141-165,Italy
314,Oecophylla_sicula,5.333,11.608,Formicinae,Oecophyllini,Oecophylla,C. Emery. 1891. Le formiche dell'ambra Siciliana nel Museo Mineralogico dell'Università di Bologna. Memorie della Reale Accademia delle Scienze dell'Istituto di Bologna 5:141-165,Italy
341,Plagiolepis_labilis,5.333,11.608,Formicinae,Plagiolepidini,Plagiolepis,C. Emery. 1891. Le formiche dell'ambra Siciliana nel Museo Mineralogico dell'Università di Bologna. Memorie della Reale Accademia delle Scienze dell'Istituto di Bologna 5:141-165,Italy
345,Podomyrma_mayri,5.333,11.608,Myrmicinae,Crematogastrini,Podomyrma,C. Emery. 1891. Le formiche dell'ambra Siciliana nel Museo Mineralogico dell'Università di Bologna. Memorie della Reale Accademia delle Scienze dell'Istituto di Bologna 5:141-165,Italy
355,Ponera_leptocephala,5.333,11.608,Ponerinae,Ponerini,Ponera,C. Emery. 1891. Le formiche dell'ambra Siciliana nel Museo Mineralogico dell'Università di Bologna. Memorie della Reale Accademia delle Scienze dell'Istituto di Bologna 5:141-165,Italy
406,Sicilomyrmex_corniger,5.333,11.608,Formicinae,Gesomyrmecini,Sicilomyrmex,C. Emery. 1891. Le formiche dell'ambra Siciliana nel Museo Mineralogico dell'Università di Bologna. Memorie della Reale Accademia delle Scienze dell'Istituto di Bologna 5:141-165,Italy
428,Tapinoma_minutissimum,5.333,11.608,Dolichoderinae,,Tapinoma,C. Emery. 1891. Le formiche dell'ambra Siciliana nel Museo Mineralogico dell'Università di Bologna. Memorie della Reale Accademia delle Scienze dell'Istituto di Bologna 5:141-165,Italy
429,Technomyrmex_deletus,5.333,11.608,Dolichoderinae,,Technomyrmex,C. Emery. 1891. Le formiche dell'ambra Siciliana nel Museo Mineralogico dell'Università di Bologna. Memorie della Reale Accademia delle Scienze dell'Istituto di Bologna 5:141-165,Italy
161,Formica_arcana,23.03,33.9,Formicinae,Formicini,Formica,"Carpenter, F. M. 1930. The fossil ants of North America. Bull. Mus. Comp. Zool. 70: 1-66",Canada
250,Lasius_peritulus,33.9,37.2,Formicinae,Lasiini,Lasius,"Carpenter, F. M. 1930. The fossil ants of North America. Bull. Mus. Comp. Zool. 70: 1-66",Impression - US
202,Formicium_brodiei,33.9,38,Formiciinae,,Formicium,"Carpenter, F. M. 1930. The fossil ants of North America. Bull. Mus. Comp. Zool. 70: 1-66",Tennessee
391,Protazteca_hendersoni,33.9,37.2,Dolichoderinae,,Protazteca,"Carpenter, F. M. 1930. The fossil ants of North America. Bull. Mus. Comp. Zool. 70: 1-66",US
154,Eulithomyrmex_rugosus,33.9,37.2,Agroecomyrmecinae,,Eulithomyrmex,"Carpenter, F. M. 1935. A new name for Lithomyrmex Carp. (Hymenoptera). Psyche (Camb.) 42: 91",Colorado
155,Eulithomyrmex_striatus,33.9,37.2,Agroecomyrmecinae,,Eulithomyrmex,"Carpenter, F. M. 1935. A new name for Lithomyrmex Carp. (Hymenoptera). Psyche (Camb.) 42: 91",Colorado
138,Emplastus_britannicus,33.9,38,Dolichoderinae,,Emplastus,"Cockerell, T. D. A. 1915. British fossil insects. Proc. U. S. Natl. Mus. 49: 469-499",England
140,Emplastus_gurnetensis,33.9,38,Dolichoderinae,,Emplastus,"Cockerell, T. D. A. 1915. British fossil insects. Proc. U. S. Natl. Mus. 49: 469-499",England
141,Emplastus_hypolithus,33.9,38,Dolichoderinae,,Emplastus,"Cockerell, T. D. A. 1915. British fossil insects. Proc. U. S. Natl. Mus. 49: 469-499",England
142,Emplastus_kozlovi,33.9,38,Dolichoderinae,,Emplastus,"Cockerell, T. D. A. 1915. British fossil insects. Proc. U. S. Natl. Mus. 49: 469-499",England
176,Formica_heteroptera,41.3,47.8,Formicinae,Formicini,Formica,"Cockerell, T. D. A. 1920. Fossil arthropods in the British Museum. - I. Ann. Mag. Nat. Hist. 9(5): 273-279",England
307,Oecophylla_bartoniana,41.3,47.8,Formicinae,Oecophyllini,Oecophylla,"Cockerell, T. D. A. 1920. Fossil arthropods in the British Museum. - I. Ann. Mag. Nat. Hist. 9(5): 273-279",England
203,Formicium_mirabile,41.3,47.8,Formiciinae,,Formicium,"Cockerell, T. D. A. 1920. Fossil arthropods in the British Museum. - I. Ann. Mag. Nat. Hist. 9(5): 273-279",UK
170,Formica_eoptera,33.9,37.2,Formicinae,Formicini,Formica,"Cockerell, T. D. A. 1923b. Fossil insects from the Eocene of Texas. Am. J. Sci. 5: 397-410",Texas
339,Pheidole_rasnitsyni,0,0.0117,Myrmicinae,Attini,Pheidole,"D. A. Dubovikoff. 2011. The first record of the genus Pheidole Westwood, 1839 (Hymenoptera: Formicidae) from the Baltic amber. Russian Entomological Journal 20:255-257",Baltic
47,Brownimecia_clavata,89.8,93.9,Brownimeciinae,,Brownimecia,"D. A. Grimaldi, D. Agosti, and J. M. Carpenter. 1997. New and rediscovered primitive ants (Hymenoptera: Formicidae) in Cretaceous amber from New Jersey, and their phylogenetic relationships. American Museum Novitates 3208",New Jersey
274,Melissotarsus_ethiopiensis,15.97,23.03,Myrmicinae,Crematogastrini,Melissotarsus,"D. Coty, M. Lebon, and A. Nel. 2016. When phylogeny meets geology and chemistry: doubts on the dating of Ethiopian amber. Annales de la Société Entomologique de France 52:161-166",Ethiopia
237,Kyromyrma_neffi,89.8,93.9,Formicinae,,Kyromyrma,D. Grimaldi and D. Agosti. 2000. A formicine in New Jersey Cretaceous amber (Hymenoptera: Formicidae) and early evolution of the ants. Proceedings of the National Academy of Sciences 97(25):13678-13683,New Jersey
123,Dolichoderus_kutschlinicus,33.9,37.2,Dolichoderinae,,Dolichoderus,"Dalla Torre, K. W. von. 1893. Catalogus Hymenopterorum hucusque descriptorum systematicus et synonymicus. Vol. 7. Formicidae (Heterogyna). Leipzig: W. Engelmann, 289 pp. (page 159, Combination in Dolichoderus)",Czech
130,Dolichoderus_vectensis,33.9,38,Dolichoderinae,,Dolichoderus,"Dalla Torre, K. W. von. 1893. Catalogus Hymenopterorum hucusque descriptorum systematicus et synonymicus. Vol. 7. Formicidae (Heterogyna). Leipzig: W. Engelmann, 289 pp. (page 159, Combination in Dolichoderus)",Czech
431,Temnothorax_praecreolus,13.82,20.44,Myrmicinae,Crematogastrini,Temnothorax,"De Andrade, M. L. 1992. First fossil ""true Macromischa"" in amber from the Dominican Republic (Hymenoptera, Formicidae). Mitt. Schweiz. Entomol. Ges. 65: 341-351 PDF (page 344, figs. 1, 2 worker described)",Dominican
304,Odontomachus_pseudobauri,13.82,20.44,Ponerinae,Ponerini,Odontomachus,"De Andrade, M. L. 1994c. Fossil Odontomachiti ants from the Dominican Republic (Amber Collection Stuttgart: Hymenoptera, Formicidae. VII: Odontomachiti). Stuttg. Beitr. Naturkd. Ser. B (Geol. Paläontol.) 199: 1-28 (page 9, fig. 14 worker described)",Dominican
343,Platythyrea_pumilio,13.82,20.44,Ponerinae,Platythyreini,Platythyrea,"De Andrade, M. L. 2004. A new species of Platythyrea from Dominican amber and description of a new extant species from Honduras (Hymenoptera: Formicidae). Revue Suisse de Zoologie 111(3): 643-655",Dominican
190,Formica_phaethusa,33.9,38,Formicinae,Formicini,Formica,"Dlussky, G. M. 1967b. Ants of the genus Formica from the Baltic amber. Paleontol. Zh. 1967(2 2: 80-89 (page 80, see also)",Baltic
157,Fallomyrma_transversa,33.9,38,Myrmicinae,,Fallomyrma,"Dlussky, G. M. and A. Radchenko. 2006. Fallomyrma gen. nov., a new myrmicine ant genus (Hymenoptera: Formicidae) from the late Eocene European amber. Annales Zoologici 56(1): 153-157",Danish
150,Eoformica_globularis,46.2,50.3,,,Eoformica,"Dlussky, G. M.; Rasnitsyn, A. P. 2003 [2002]. Ants (Hymenoptera: Formicidae) of Formation Green River and some other Middle Eocene deposits of North America.",Impression - US
