,SpecimenName,min_yr,max_yr,SubFamily,Tribe,Genus,Reference,Amber Locale
151,Eoformica_magna,46.2,50.3,,,Eoformica,"Dlussky, G. M.; Rasnitsyn, A. P. 2003 [2002]. Ants (Hymenoptera: Formicidae) of Formation Green River and some other Middle Eocene deposits of North America.",Impression - US
152,Eoformica_pinguis,46.2,50.3,,,Eoformica,"Dlussky, G. M.; Rasnitsyn, A. P. 2003 [2002]. Ants (Hymenoptera: Formicidae) of Formation Green River and some other Middle Eocene deposits of North America.",Impression - US
122,Dolichoderus_kohlsi,46.2,50.3,Dolichoderinae,,Dolichoderus,"Dlussky, G. M.; Rasnitsyn, A. P. 2003 [2002]. Ants (Hymenoptera: Formicidae) of Formation Green River and some other Middle Eocene deposits of North America. Russ. Entomol. J. 11(4): 411-436",US
232,Klondikia_whiteae,47.8,56,,,Klondikia,"Dlussky, G. M.; Rasnitsyn, A. P. 2003 [2002]. Ants (Hymenoptera: Formicidae) of Formation Green River and some other Middle Eocene deposits of North America. Russ. Entomol. J. 11(4): 411-436",US
233,Kohlsimyrma_gracilis,46.2,50.3,,,Kohlsimyrma,"Dlussky, G. M.; Rasnitsyn, A. P. 2003 [2002]. Ants (Hymenoptera: Formicidae) of Formation Green River and some other Middle Eocene deposits of North America. Russ. Entomol. J. 11(4): 411-436",US
234,Kohlsimyrma_laticeps,46.2,50.3,,,Kohlsimyrma,"Dlussky, G. M.; Rasnitsyn, A. P. 2003 [2002]. Ants (Hymenoptera: Formicidae) of Formation Green River and some other Middle Eocene deposits of North America. Russ. Entomol. J. 11(4): 411-436",US
235,Kohlsimyrma_longiceps,46.2,50.3,,,Kohlsimyrma,"Dlussky, G. M.; Rasnitsyn, A. P. 2003 [2002]. Ants (Hymenoptera: Formicidae) of Formation Green River and some other Middle Eocene deposits of North America. Russ. Entomol. J. 11(4): 411-436",US
293,Myrmecites_rotundiceps,46.2,50.3,Myrmicinae,,Myrmecites,"Dlussky, G. M.; Rasnitsyn, A. P. 2003 [2002]. Ants (Hymenoptera: Formicidae) of Formation Green River and some other Middle Eocene deposits of North America. Russ. Entomol. J. 11(4): 411-436",US
358,Ponerites_coloradensis,46.2,50.3,Ponerinae,Ponerini,Ponerites,"Dlussky, G. M.; Rasnitsyn, A. P. 2003 [2002]. Ants (Hymenoptera: Formicidae) of Formation Green River and some other Middle Eocene deposits of North America. Russ. Entomol. J. 11(4): 411-436 ",Tennessee
361,Ponerites_eocenicus,46.2,50.3,Ponerinae,Ponerini,Ponerites,"Dlussky, G. M.; Rasnitsyn, A. P. 2003 [2002]. Ants (Hymenoptera: Formicidae) of Formation Green River and some other Middle Eocene deposits of North America. Russ. Entomol. J. 11(4): 411-436 (page 423, fig. 21, queen described)",Tennessee
364,Ponerites_hypoponeroides,40.4,46.2,Ponerinae,Ponerini,Ponerites,"Dlussky, G. M.; Rasnitsyn, A. P. 2003 [2002]. Ants (Hymenoptera: Formicidae) of Formation Green River and some other Middle Eocene deposits of North America. Russ. Entomol. J. 11(4): 411-436 (page 423, fig. 21, queen described)",Tennessee
438,Usomyrma_mirabilis,33.9,38,Dolichoderinae,Leptomyrmecini,Usomyrma,"Dlussky, G., Radchenko, A. & Dubovikoff, D. 2014. A new enigmatic ant genus from late Eocene Danish Amber and its evolutionary and zoogeographic significance. Acta Palaeontologica Polonica, 59: 931–939.",Danish
439,Yantaromyrmex_geinitzi,33.9,38,Dolichoderinae,,Yantaromyrmex,"Dlussky, G.M. & Dubovikoff, D.A. 2013. Yantaromyrmex gen. n. – a new ant genus (Hymenoptera Formicidae) from Late Eocene ambers of Europe. Caucasian Entomological Bulletin 9, 305-314.",Baltic
440,Yantaromyrmex_mayrianum,33.9,38,Dolichoderinae,,Yantaromyrmex,"Dlussky, G.M. & Dubovikoff, D.A. 2013. Yantaromyrmex gen. n. – a new ant genus (Hymenoptera Formicidae) from Late Eocene ambers of Europe. Caucasian Entomological Bulletin 9, 305-314.",Baltic
125,Dolichoderus_luridivenosus,15.97,20.44,Dolichoderinae,,Dolichoderus,"Dlussky, G.M. & Perfilieva, K.S. 2014. Superfamily Formicoidea Latreille, 1802. In: Antropov, A. V., Belokobylskij, S. A., Compton, S. G., Dlussky, G. M., Khalaim, A. I., Kolyada, V. A., Kozlov, M. A., Perfilieva, K. S. & Rasnitsyn, A. P. 2014. The wasps, bees and ants (Insecta: Vespida=Hymenoptera) from the Insect Limestone (Late Eocene) of the Isle of Wight, UK. Earth and Environmental Science Transactions of the Royal Society of Edinburgh 104(3-4):335-446.",UK
129,Dolichoderus_transversipetiolaris,15.97,20.44,Dolichoderinae,,Dolichoderus,"Dlussky, G.M. & Perfilieva, K.S. 2014. Superfamily Formicoidea Latreille, 1802. In: Antropov, A. V., Belokobylskij, S. A., Compton, S. G., Dlussky, G. M., Khalaim, A. I., Kolyada, V. A., Kozlov, M. A., Perfilieva, K. S. & Rasnitsyn, A. P. 2014. The wasps, bees and ants (Insecta: Vespida=Hymenoptera) from the Insect Limestone (Late Eocene) of the Isle of Wight, UK. Earth and Environmental Science Transactions of the Royal Society of Edinburgh 104(3-4):335-446.",UK
328,Paraphaenogaster_hooleyana,33.9,38,Myrmicinae,Stenammini,Paraphaenogaster,"Dlussky, G.M. & Perfilieva, K.S. 2014. Superfamily Formicoidea Latreille, 1802. In: Antropov, A. V., Belokobylskij, S. A., Compton, S. G., Dlussky, G. M., Khalaim, A. I., Kolyada, V. A., Kozlov, M. A., Perfilieva, K. S. & Rasnitsyn, A. P. 2014. The wasps, bees and ants (Insecta: Vespida=Hymenoptera) from the Insect Limestone (Late Eocene) of the Isle of Wight, UK. Earth and Environmental Science Transactions of the Royal Society of Edinburgh 104(3-4):335-446.",UK
359,Ponerites_crawleyi,33.9,38,Ponerinae,Ponerini,Ponerites,"Dlussky, G.M. & Perfilieva, K.S. 2014. Superfamily Formicoidea Latreille, 1802. In: Antropov, A. V., Belokobylskij, S. A., Compton, S. G., Dlussky, G. M., Khalaim, A. I., Kolyada, V. A., Kozlov, M. A., Perfilieva, K. S. & Rasnitsyn, A. P. 2014. The wasps, bees and ants (Insecta: Vespida=Hymenoptera) from the Insect Limestone (Late Eocene) of the Isle of Wight, UK. Earth and Environmental Science Transactions of the Royal Society of Edinburgh 104(3-4):335-446.",UK
