taxon	age
Trichomyrmex_criniceps	0
Lachnomyrmex_scrobiculatus	0
Prenolepis_sp_PHL01	0
Blepharidatta_conops	0
Strumigenys_chiricahua	0
Liometopum_luctuosum	0
Thaumatomyrmex_sp_Bra1	0
Carebara_AU01	0
Opisthopsis_sp	0
Gauromyrmex_acanthinus	0
Cerapachys_MG39	0
Monomorium_hanneli	0
Strumigenys_chyzeri	0
Atta_texana	0
Cerapachys_CM02	0
Strumigenys_coveri	0
Mesoponera_rubra	0
Formica_moki	0
Leptogenys_sp	0
Anochetus_madagascarensis	0
Leptanilla_GRE01	0
Sphinctomyrmex_KE01	0
Rotastruma_stenoceps	0
Solenopsis_ZA02	0
Cerapachys_augustae	0
Tropidomyrmex_elianae	0
Chyphotes_mellipes	0
Cerapachys_TH02	0
Monomorium_antarcticum	0
Acromyrmex_versicolor	0
Nylanderia_sp_GUY02	0
Gnamptogenys_sp	0
Camponotus_BCA01	0
Cyphomyrmex_longiscapus_cf	0
Mycetagroicus_triangularis_GenBank	0
Terataner_bottegoi	0
Nylanderia_cf_bourbonica	0
Aptinoma_antongil	0
Dorylus_mayri	0
Rotastruma_recava	0
Cardiocondyla_MY01	0
Aenictogiton_ZM02	0
Stigmatomma_pallipes	0
Nylanderia_wojciki	0
Pachycondyla_impressa	0
Centromyrmex_feae	0
Iridomyrmex_sanguineus	0
Turneria_bidentata	0
Cephalotes_atratus	0
Diacamma_rugosum	0
Simopone_oculata	0
Cerapachys_foreli	0
Bariamyrma_hispidula	0
Syllophopsis_sechellense	0
Manica_bradleyi	0
Labidus_spininodis	0
Aenictogiton_ZAM02	0
Monomorium_fieldi_nr	0
Wasmannia_auropunctata	0
Cerapachys_L_MG04	0
Formicoxenus_provancheri	0
Mischocyttarus_flavitarsis	0
Formicoxenus_diversipilosus	0
Monomorium_pharaonis	0
Technomyrmex_anterops	0
Megaponera_analis	0
Ophthalmopone_berthoudi	0
Proatta_butteli	0
Tetraponera_sp	0
Acanthostichus_davisi	0
Cerapachys_larvatus	0
Secostruma_MY01	0
Liometopum_apiculatum	0
Froggattella_latispina	0
Epopostruma_monstrosa	0
Myrmelachista_JTL01	0
Recurvidris_TH01	0
Linepithema_keiteli	0
Xymmer_muticus	0
Dolichoderus_decollatus	0
Platythyrea_quadridenta	0
Procryptocerus_scabriusculus	0
Trichomyrmex_robustior	0
Leptogenys_sp_Ecu1	0
Dorymyrmex_planidens	0
Nebothriomyrmex_majeri	0
Malagidris_belti	0
Platythyrea_punctata	0
Metapolybia_cingulata	0
Cerapachys_P_MG09	0
Odontomachus_clarus	0
Carebara_nosindambo	0
Cephalotes_unimaculatus	0
Tetramorium_transversinodis	0
Monomorium_ergatogyna	0
Cerapachys_LK02	0
Nesomyrmex_wilda	0
Vollenhovia_emeryi	0
Myrmecia_pyriformis	0
Myopias_tenuis	0
Nylanderia_dodo	0
Leptomyrmex_erythrocephalus	0
Aenictus_turneri	0
Leptogenys_falcigera	0
Nylanderia_cf_madagascarensis	0
Pristomyrmex_sp	0
Leptothorax_muscorum_complex	0
Technomyrmex_albipes	0
Strumigenys_ambatrix	0
Myrmisaraka_brevis	0
Pogonomyrmex_striatinodus	0
Simopone_conradti	0
Paraparatrechina_weissi	0
Procryptocerus_batesi	0
Cryptopone_sauteri	0
Notoncus_sp	0
Propodilobus_pingorum	0
Technomyrmex_difficilis	0
Amblyopone_australis	0
Perissomyrmex_snyderi	0
Myrmica_incompleta	0
Rhytidoponera_chalybaea	0
Nylanderia_hystrix	0
Aphaenogaster_pythia	0
Plectroctena_minor	0
Leptomyrmex_AU01	0
Mycetosoritis_hartmanni	0
Dolichoderus_scabridus	0
Dorylus_helvolus	0
