taxon	age
Usomyrma_mirabilis	33.9
Gnamptogenys_levinates	13.82
Sicilomyrmex_corniger	5.333
Myrmeciites_herculeanus	47.8
Hypopomyrmex_bombiccii	5.333
Odontomachus_spinifer	13.82
Proceratium_dominicanum	13.82
Sphecomyrma_freyi	89.8
Usomyrma_mirabilis	33.9
Gnamptogenys_levinates	13.82
Sicilomyrmex_corniger	5.333
Myrmeciites_herculeanus	47.8
Hypopomyrmex_bombiccii	5.333
Odontomachus_spinifer	13.82
Proceratium_dominicanum	13.82
Sphecomyrma_freyi	89.8
