,SpecimenName,min_yr,max_yr,SubFamily,Tribe,Genus
83,Carebara rugiceps,11.608,12.7,Myrmicinae,Crematogastrini,Carebara
84,Carebara schossnicensis,5.333,11.608,Myrmicinae,Crematogastrini,Carebara
85,Carebara sophiae,5.333,11.608,Myrmicinae,Crematogastrini,Carebara
86,Carebara thorali,23.03,28.1,Myrmicinae,Crematogastrini,Carebara
87,Casaleia eocenica,40.4,48.6,Amblyoponinae,,Casaleia
88,Casaleia longiventris,11.608,12.7,Amblyoponinae,,Casaleia
89,Casaleia orientalis,33.9,38.,Amblyoponinae,,Casaleia
90,Cataulacus planiceps,5.333,11.608,Myrmicinae,Crematogastrini,Cataulacus
91,Cataulacus plebeius,15.97,20.44,Myrmicinae,Crematogastrini,Cataulacus
92,Cataulacus silvestrii,5.333,11.608,Myrmicinae,Crematogastrini,Cataulacus
93,Cephalomyrmex rotundatus,33.9,37.2,Myrmicinae,,Cephalomyrmex
94,Cephalopone grandis,40.4,48.6,Ponerinae,,Cephalopone
95,Cephalopone potens,40.4,48.6,Ponerinae,,Cephalopone
96,Cephalotes alveolatus,13.82,20.44,Myrmicinae,Attini,Cephalotes
97,Cephalotes integerrimus,13.82,20.44,Myrmicinae,Attini,Cephalotes
98,Cephalotes jansei,13.82,20.44,Myrmicinae,Attini,Cephalotes
99,Cephalotes obscurus,13.82,20.44,Myrmicinae,Attini,Cephalotes
100,Cephalotes serratus,13.82,20.44,Myrmicinae,Attini,Cephalotes
101,Cephalotes squamosus,13.82,20.44,Myrmicinae,Attini,Cephalotes
102,Cephites fragilis,11.608,12.7,,,
103,Cephites oeningensis,11.608,12.7,,,
104,Ceratomyrmex ellenbergeri,93.5,99.6,Sphecomyrminae,Haidomyrmecini,Ceratomyrmex
105,Cretomyrma arnoldii,83.5,85.8,Sphecomyrminae,Sphecomyrmini,Cretomyrma
106,Cretomyrma unicornis,83.5,85.8,Sphecomyrminae,Sphecomyrmini,Cretomyrma
107,Cyphomyrmex maya,15.97,23.03,Myrmicinae,Attini,Cyphomyrmex
108,Cyphomyrmex taino,13.82,20.44,Myrmicinae,Attini,Cyphomyrmex
109,Cyrtopone curiosa,40.4,48.6,Ponerinae,,Cyrtopone
110,Cyrtopone elongata,40.4,48.6,Ponerinae,,Cyrtopone
111,Cyrtopone microcephala,40.4,48.6,Ponerinae,,Cyrtopone
112,Cyrtopone striata,40.4,48.6,Ponerinae,,Cyrtopone
113,Discothyrea gigas,13.82,20.44,Proceratiinae,Proceratiini,Discothyrea
114,Discothyrea maya,15.97,23.03,Proceratiinae,Proceratiini,Discothyrea
115,Dlusskyidris zherichini,83.5,85.8,,,Dlusskyidris
116,Dolichoderinae,5.333,7.246,,,
117,Dolichoderus antiquus,33.9,37.2,Dolichoderinae,,Dolichoderus
118,Dolichoderus dlusskyi,41.3,47.8,Dolichoderinae,,Dolichoderus
119,Dolichoderus evolans,15.97,20.44,Dolichoderinae,,Dolichoderus
120,Dolichoderus explicans,28.4,33.9,Dolichoderinae,,Dolichoderus
121,Dolichoderus jiaoyanshanensis,15.97,20.44,Dolichoderinae,,Dolichoderus
122,Dolichoderus kohlsi,46.2,50.3,Dolichoderinae,,Dolichoderus
123,Dolichoderus kutschlinicus,33.9,37.2,Dolichoderinae,,Dolichoderus
124,Dolichoderus lacinius,15.97,20.44,Dolichoderinae,,Dolichoderus
125,Dolichoderus luridivenosus,15.97,20.44,Dolichoderinae,,Dolichoderus
126,Dolichoderus obliteratus,23.03,33.9,Dolichoderinae,,Dolichoderus
127,Dolichoderus pinguis,33.9,38.,Dolichoderinae,,Dolichoderus
128,Dolichoderus rohweri,33.9,37.2,Dolichoderinae,,Dolichoderus
129,Dolichoderus transversipetiolaris,15.97,20.44,Dolichoderinae,,Dolichoderus
130,Dolichoderus vectensis,33.9,38.,Dolichoderinae,,Dolichoderus
131,Ectatomma gracile,5.333,11.608,Ectatomminae,Ectatommini,Ectatomma
132,Elaeomyrmex coloradensis,33.9,37.2,Dolichoderinae,,Elaeomyrmex
133,Elaeomyrmex gracilis,33.9,37.2,Dolichoderinae,,Elaeomyrmex
134,Elaphrodites mutatus,15.97,20.44,Dolichoderinae,,Elaphrodites
135,Elaphrodites scutulatus,15.97,20.44,Dolichoderinae,,Elaphrodites
136,Emplastus antiquus,11.608,12.7,Dolichoderinae,,Emplastus
137,Emplastus biamoensis,33.9,38.,Dolichoderinae,,Emplastus
138,Emplastus britannicus,33.9,38.,Dolichoderinae,,Emplastus
139,Emplastus elongatus,33.9,38.,Dolichoderinae,,Emplastus
140,Emplastus gurnetensis,33.9,38.,Dolichoderinae,,Emplastus
141,Emplastus hypolithus,33.9,38.,Dolichoderinae,,Emplastus
142,Emplastus kozlovi,33.9,38.,Dolichoderinae,,Emplastus
