,SpecimenName,min_yr,max_yr,SubFamily,Tribe,Genus
355,Ponera leptocephala,5.333,11.608,Ponerinae,Ponerini,Ponera
356,Ponerinae,47.8   11.608,56.  12.7,,,
357,Ponerites atavinus,11.608,12.7,Ponerinae,Ponerini,Ponerites
358,Ponerites coloradensis,46.2,50.3,Ponerinae,Ponerini,Ponerites
359,Ponerites crawleyi,33.9,38.,Ponerinae,Ponerini,Ponerites
360,Ponerites elongatus,11.608,12.7,Ponerinae,Ponerini,Ponerites
361,Ponerites eocenicus,46.2,50.3,Ponerinae,Ponerini,Ponerites
362,Ponerites gracilior,11.608,12.7,Ponerinae,Ponerini,Ponerites
363,Ponerites hooleyi,33.9,38.,Ponerinae,Ponerini,Ponerites
364,Ponerites hypoponeroides,40.4,46.2,Ponerinae,Ponerini,Ponerites
365,Ponerites nitidus,11.608,12.7,Ponerinae,Ponerini,Ponerites
366,Ponerites oblongiceps,11.608,12.7,Ponerinae,Ponerini,Ponerites
367,Ponerites tenuis,11.608,12.7,Ponerinae,Ponerini,Ponerites
368,Ponerites umbrus,11.608,15.97,Ponerinae,Ponerini,Ponerites
369,Poneropsis crassinervis,12.7,13.65,,,
370,Poneropsis escheri,11.608,12.7,,,
371,Poneropsis fuliginosa,11.608,12.7,,,
372,Poneropsis globosa,11.608,12.7,,,
373,Poneropsis longaeva,11.608,12.7,,,
374,Poneropsis rhenana,23.03,28.4,,,
375,Poneropsis stygia,11.608,12.7,,,
376,Poneropsis ventrosa,11.608,12.7,,,
377,Prionomyrmex janzeni,33.9,38.,Myrmeciinae,Prionomyrmecini,Prionomyrmex
378,Prionomyrmex wappleri,23.03,28.4,Myrmeciinae,Prionomyrmecini,Prionomyrmex
379,Pristomyrmex rasnitsyni,33.9,38.,Myrmicinae,Crematogastrini,Pristomyrmex
380,Proceratium denticulatum,13.82,20.44,Proceratiinae,Proceratiini,Proceratium
381,Proceratium dominicanum,13.82,20.44,Proceratiinae,Proceratiini,Proceratium
382,Proceratium gibberum,13.82,20.44,Proceratiinae,Proceratiini,Proceratium
383,Proceratium petrosum,33.9,38.,Proceratiinae,Proceratiini,Proceratium
384,Proceratium poinari,13.82,20.44,Proceratiinae,Proceratiini,Proceratium
385,Proiridomyrmex rotundatus,41.3,47.8,Dolichoderinae,,Proiridomyrmex
386,Proiridomyrmex vetulus,46.2,50.3,Dolichoderinae,,Proiridomyrmex
387,Propalosoma gutierrezae,47.8,56.,,,
388,Protazteca capitata,33.9,37.2,Dolichoderinae,,Protazteca
389,Protazteca elongata,33.9,37.2,Dolichoderinae,,Protazteca
390,Protazteca eocenica,41.3,47.8,Dolichoderinae,,Protazteca
391,Protazteca hendersoni,33.9,37.2,Dolichoderinae,,Protazteca
392,Protazteca quadrata,33.9,37.2,Dolichoderinae,,Protazteca
393,Protomyrmica atavia,33.9,38.,Myrmicinae,Myrmicini,Protomyrmica
394,Protopone germanica,40.4,48.6,Ponerinae,,Protopone
395,Protopone magna,40.4,48.6,Ponerinae,,Protopone
396,Protopone oculata,40.4,48.6,Ponerinae,,Protopone
397,Protopone sepulta,40.4,48.6,Ponerinae,,Protopone
398,Protopone vetula,40.4,48.6,Ponerinae,,Protopone
399,Pseudectatomma eocenica,40.4,48.6,Ectatomminae,,Pseudectatomma
400,Pseudectatomma striatula,40.4,48.6,Ectatomminae,,Pseudectatomma
401,Pseudocamponotus elkoanus,28.4,37.2,Formicinae,Camponotini,Pseudocamponotus
402,Pseudomyrmex extinctus,33.9,37.2,Pseudomyrmecinae,,Pseudomyrmex
403,Pseudomyrmex saxulum,41.3,47.8,Pseudomyrmecinae,,Pseudomyrmex
404,Rhytidoponera gibsoni,20.44,23.03,Ectatomminae,Ectatommini,Rhytidoponera
405,Rhytidoponera waipiata,20.44,23.03,Ectatomminae,Ectatommini,Rhytidoponera
406,Sicilomyrmex corniger,5.333,11.608,Formicinae,Gesomyrmecini,Sicilomyrmex
407,Solenopsidini,20.44,23.03,,,
408,Solenopsis blanda,28.4,33.9,Myrmicinae,Solenopsidini,Solenopsis
409,Solenopsis maxima,28.4,33.9,Myrmicinae,Solenopsidini,Solenopsis
410,Solenopsis moesta,28.4,33.9,Myrmicinae,Solenopsidini,Solenopsis
411,Solenopsis privata,28.4,33.9,Myrmicinae,Solenopsidini,Solenopsis
412,Solenopsis superba,28.4,33.9,Myrmicinae,Solenopsidini,Solenopsis
413,Solenopsis valida,28.4,33.9,Myrmicinae,Solenopsidini,Solenopsis
414,Solenopsites abdita,41.3,47.8,Myrmicinae,,Solenopsites
415,Solenopsites minutus,46.2,50.3,Myrmicinae,,Solenopsites
416,Sphecomyrma,89.8,93.9,Sphecomyrminae,Sphecomyrmini,
417,Sphecomyrma freyi,89.8,93.9,Sphecomyrminae,Sphecomyrmini,Sphecomyrma
418,Sphecomyrma mesaki,89.8,93.9,Sphecomyrminae,Sphecomyrmini,Sphecomyrma
419,Stigmatomma electrina,33.9,38.,,,
420,Stigmatomma groehni,33.9,38.,Amblyoponinae,,Stigmatomma
421,Strumigenys electrina,13.82,20.44,Myrmicinae,Attini,Strumigenys
422,Strumigenys schleeorum,13.82,20.44,Myrmicinae,Attini,Strumigenys
423,Taphopone aberrans,33.9,38.,Ponerinae,,Taphopone
424,Taphopone microptera,33.9,38.,Ponerinae,,Taphopone
425,Taphopone petrosa,33.9,38.,Ponerinae,,Taphopone
426,Tapinoma,23.03,28.4,Dolichoderinae,Tapinomini,
427,Tapinoma baculum,15.97,20.44,Dolichoderinae,,Tapinoma
428,Tapinoma minutissimum,5.333,11.608,Dolichoderinae,,Tapinoma
429,Technomyrmex deletus,5.333,11.608,Dolichoderinae,,Technomyrmex
430,Technomyrmex septentrionalis,15.97,20.44,Dolichoderinae,,Technomyrmex
431,Temnothorax praecreolus,13.82,20.44,Myrmicinae,Crematogastrini,Temnothorax
432,Tetramorium kulickae,33.9,38.,Myrmicinae,Crematogastrini,Tetramorium
433,Tetramorium paraarmatum,33.9,38.,Myrmicinae,Crematogastrini,Tetramorium
434,Titanomyrma gigantea,40.4,48.6,Formiciinae,,Titanomyrma
435,Titanomyrma lubei,46.2,50.3,Formiciinae,,Titanomyrma
436,Titanomyrma simillima,40.4,48.6,Formiciinae,,Titanomyrma
437,Trachymyrmex primaevus,13.82,20.44,Myrmicinae,Attini,Trachymyrmex
438,Usomyrma mirabilis,33.9,38.,Dolichoderinae,Leptomyrmecini,Usomyrma
439,Yantaromyrmex geinitzi,33.9,38.,Dolichoderinae,,Yantaromyrmex
440,Yantaromyrmex mayrianum,33.9,38.,Dolichoderinae,,Yantaromyrmex
441,Ypresiomyrma bartletti,47.8,56.,Myrmeciinae,,Ypresiomyrma
442,Ypresiomyrma orbiculata,47.8,56.,Myrmeciinae,,Ypresiomyrma
443,Ypresiomyrma orientalis,33.9,38.,Myrmeciinae,,Ypresiomyrma
444,Ypresiomyrma rebekkae,47.8,56.,Myrmeciinae,,Ypresiomyrma
445,Zhangidris atopogaster,15.97,20.44,Myrmicinae,,Zhangidris
446,Zigrasimecia ferox,93.5,99.6,Sphecomyrminae,Zigrasimeciini,Zigrasimecia
447,Zigrasimecia tonsora,93.5,99.6,Sphecomyrminae,Zigrasimeciini,Zigrasimecia
