Specimen,subfamily,Tribe,Genus
Discothyrea_maya,Proceratiinae,Proceratiini,Discothyrea
Dolichoderus_jiaoyanshanensis,Dolichoderinae,,Dolichoderus
Dolichoderus_kohlsi,Dolichoderinae,,Dolichoderus
Dolichoderus_kutschlinicus,Dolichoderinae,,Dolichoderus
Dolichoderus_lacinius,Dolichoderinae,,Dolichoderus
Dolichoderus_luridivenosus,Dolichoderinae,,Dolichoderus
Dolichoderus_obliteratus,Dolichoderinae,,Dolichoderus
Dolichoderus_pinguis,Dolichoderinae,,Dolichoderus
Dolichoderus_rohweri,Dolichoderinae,,Dolichoderus
Dolichoderus_transversipetiolaris,Dolichoderinae,,Dolichoderus
Dolichoderus_vectensis,Dolichoderinae,,Dolichoderus
Ectatomma_gracile,Ectatomminae,Ectatommini,Ectatomma
Elaeomyrmex_coloradensis,Dolichoderinae,,Elaeomyrmex
Elaeomyrmex_gracilis,Dolichoderinae,,Elaeomyrmex
Elaphrodites_mutatus,Dolichoderinae,,Elaphrodites
Elaphrodites_scutulatus,Dolichoderinae,,Elaphrodites
Emplastus_antiquus,Dolichoderinae,,Emplastus
Emplastus_biamoensis,Dolichoderinae,,Emplastus
Emplastus_britannicus,Dolichoderinae,,Emplastus
Emplastus_elongatus,Dolichoderinae,,Emplastus
Emplastus_gurnetensis,Dolichoderinae,,Emplastus
Emplastus_hypolithus,Dolichoderinae,,Emplastus
Emplastus_kozlovi,Dolichoderinae,,Emplastus
Emplastus_macrops,Dolichoderinae,,Emplastus
Emplastus_ocellus,Dolichoderinae,,Emplastus
Eocenomyrma_breviscapa,Myrmicinae,Crematogastrini,Eocenomyrma
Eocenomyrma_elegantula,Myrmicinae,Crematogastrini,Eocenomyrma
Eocenomyrma_orthospina,Myrmicinae,Crematogastrini,Eocenomyrma
Eocenomyrma_rugosostriata,Myrmicinae,Crematogastrini,Eocenomyrma
Eocenomyrma_ukrainica,Myrmicinae,Crematogastrini,Eocenomyrma
Eoformica_globularis,,,Eoformica
Eoformica_magna,,,Eoformica
Eoformica_pinguis,,,Eoformica
Eotapinoma_macalpini,Dolichoderinae,,Eotapinoma
Eulithomyrmex_rugosus,Agroecomyrmecinae,,Eulithomyrmex
Eulithomyrmex_striatus,Agroecomyrmecinae,,Eulithomyrmex
Eurymyrmex_geologicus,Dolichoderinae,,Eurymyrmex
Fallomyrma_transversa,Myrmicinae,,Fallomyrma
Fonsecahymen_stigmata,,,Fonsecahymen
Formica,Formicinae,Formicini,
Formica_annosa,Formicinae,Formicini,Formica
Formica_arcana,Formicinae,Formicini,Formica
Formica_auxillacensis,Formicinae,Formicini,Formica
Formica_bauckhorni,Formicinae,Formicini,Formica
Formica_biamoensis,Formicinae,Formicini,Formica
Formica_buphthalma,Formicinae,Formicini,Formica
Formica_cantalica,Formicinae,Formicini,Formica
Formica_ceps,Formicinae,Formicini,Formica
Formica_cockerelli,Formicinae,Formicini,Formica
Formica_demersa,Formicinae,Formicini,Formica
Formica_eoptera,Formicinae,Formicini,Formica
Formica_flavifemoralis,Formicinae,Formicini,Formica
Formica_flori,Formicinae,Formicini,Formica
Formica_globiventris,Formicinae,Formicini,Formica
Formica_grandis,Formicinae,Formicini,Formica
Formica_gravida,Formicinae,Formicini,Formica
Formica_heteroptera,Formicinae,Formicini,Formica
Formica_immersa,Formicinae,Formicini,Formica
Formica_lavateri,Formicinae,Formicini,Formica
Formica_linquensis,Formicinae,Formicini,Formica
Formica_longicollis,Formicinae,Formicini,Formica
Formica_macrocephala,Formicinae,Formicini,Formica
Formica_macrophthalma,Formicinae,Formicini,Formica
Formica_maculipennis,Formicinae,Formicini,Formica
Formica_martynovi,Formicinae,Formicini,Formica
Formica_obscura,Formicinae,Formicini,Formica
Formica_orbata,Formicinae,Formicini,Formica
Formica_ovala,Formicinae,Formicini,Formica
Formica_paleosibirica,Formicinae,Formicini,Formica
Formica_parexsecta,Formicinae,Formicini,Formica
Formica_phaethusa,Formicinae,Formicini,Formica
Formica_pitoni,Formicinae,Formicini,Formica
Formica_primitiva,Formicinae,Formicini,Formica
Formica_primordialis,Formicinae,Formicini,Formica
Formica_procera,Formicinae,Formicini,Formica
Formica_pulchella,Formicinae,Formicini,Formica
Formica_robusta,,,
Formica_seuberti,Formicinae,Formicini,Formica
Formica_ungeri,Formicinae,Formicini,Formica
Formicidae,,,
Formicinae,,,
Formicium_berryi,Formiciinae,,Formicium
Formicium_brodiei,Formiciinae,,Formicium
Formicium_mirabile,Formiciinae,,Formicium
Gerontoformica_contegus,Sphecomyrminae,Sphecomyrmini,Gerontoformica
Gerontoformica_gracilis,Sphecomyrminae,Sphecomyrmini,Gerontoformica
Gerontoformica_magnus,Sphecomyrminae,Sphecomyrmini,Gerontoformica
Gerontoformica_orientalis,Sphecomyrminae,Sphecomyrmini,Gerontoformica
Gerontoformica_pilosus,Sphecomyrminae,Sphecomyrmini,Gerontoformica
